Date,Country,City,Specie,Count,Min,Max,Median,Variance
2018-12-31,AU,Sydney,co,44,2.3,4.5,3.4,5.34
2020-01-07,AU,Melbourne,pm25,311,10,187,62,16012.4
2018-12-31,AU,Sydney,wind-speed,152,0.1,8.3,1.8,27.78
2018-12-31,AU,Sydney,wind-gust,159,0.1,15.5,4,67.62
2018-12-31,AU,Sydney,so2,93,1.5,10,1.5,46.03
2018-12-31,AU,Sydney,no2,154,1,20.4,6.5,208.47
2018-12-31,AU,Sydney,pressure,168,1008.9,1017.6,1013.3,67.8
2018-12-31,AU,Sydney,dew,46,15,21.3,20,15.17
2018-12-31,AU,Sydney,temperature,168,20.5,36,23.5,167.97
2018-12-31,AU,Sydney,pm10,168,26,35,30,41.82
2018-12-31,AU,Sydney,humidity,168,36.6,94,74.7,2338.02
2018-12-31,AU,Sydney,o3,161,2.4,72.5,26.4,1949.5
2018-12-31,AU,Newcastle,temperature,72,20,30,23.7,50.69
2018-12-31,AU,Newcastle,humidity,72,48,93,77.3,927.37
2018-12-31,AU,Newcastle,so2,58,1.5,21.5,4.3,311.29
2020-01-31,AU,Melbourne,pm25,311,17,101,51,1769.78
2018-12-31,AU,Newcastle,no2,66,1,15.8,5.6,126.95
2018-12-31,AU,Newcastle,pressure,72,1008.1,1014.1,1011.7,31.76
2018-12-31,AU,Newcastle,dew,20,15.5,21,18.5,25.44
2018-12-31,AU,Newcastle,co,36,2.3,4.5,3.4,5.1
2018-12-31,AU,Newcastle,wind-gust,69,1.8,13.1,7,76.63
2018-12-31,AU,Newcastle,wind-speed,70,0.2,8.7,1.4,31.12
2018-12-31,AU,Newcastle,pm10,71,27,47,34,327.2
2018-12-31,AU,Newcastle,o3,68,4,105.5,20.8,3904.68
2018-12-31,AU,Launceston,humidity,168,29.2,95.7,66.7,3943.2
2020-02-24,AU,Melbourne,pm25,311,7,84,41,2321.5
2018-12-31,AU,Launceston,pressure,168,1006.7,1013.1,1009.9,52.87
2018-12-31,AU,Launceston,wind-speed,124,0.2,10.1,4.1,96.17
2018-12-31,AU,Launceston,wind-gust,133,0.1,19.1,9.6,408.08
2018-12-31,AU,Launceston,dew,48,2,10.5,8,74.29
2018-12-31,AU,Launceston,temperature,168,9.1,24.6,17.8,226.05
2018-12-31,AU,Launceston,pm10,133,2,16,6,68.61
2018-12-31,AU,Hobart,humidity,72,50.8,86,73.5,1139.09
2020-01-04,AU,Melbourne,pm25,309,15,250,89,30586
2018-12-31,AU,Hobart,pressure,72,1001.1,1014.8,1006,196.01
2018-12-31,AU,Hobart,wind-speed,54,0.1,2.3,1.2,5.08
2018-12-31,AU,Hobart,wind-gust,72,0.2,6.2,2.3,22.18
2018-12-31,AU,Hobart,temperature,72,13.6,25.5,16.8,134.42
2018-12-31,AU,Hobart,pm10,57,8,18,12,54.69
2020-01-04,AU,Melbourne,pm25,309,15,250,89,30586
2018-12-31,AU,Darwin,no2,47,0.1,3.8,0.6,3.92
2018-12-31,AU,Darwin,temperature,72,23.2,34.5,28,68.7
2018-12-31,AU,Darwin,pm10,47,6,26,17,223.14
2018-12-31,AU,Darwin,o3,48,2.7,11.1,7.8,56.36
2018-12-31,AU,Darwin,so2,35,0.1,0.8,0.1,0.18
2018-12-31,AU,Darwin,wd,48,28,333.2,204,77844.2
2018-12-31,AU,Darwin,wind-speed,48,0.6,5.8,1.9,16.9
2018-12-31,AU,Darwin,wind-gust,60,0.2,24.1,2,303.25
2018-12-31,AU,Darwin,dew,69,22.5,25,24,4.9
2018-12-31,AU,Darwin,humidity,48,48.4,98.2,74.6,1523.97
2018-12-31,AU,Darwin,pressure,72,1005,1016,1007.4,59.85
2018-12-31,AU,Darwin,precipitation,2,0.1,1.8,0.1,14.45
2018-12-31,AU,Darwin,co,47,2.7,4.2,3,3.8
2018-12-31,AU,Melbourne,dew,21,10,16,14,38.57
2018-12-31,AU,Melbourne,temperature,156,0,23.3,0,863.37
2018-12-31,AU,Melbourne,pressure,156,0,1012.6,0,2191660
2018-12-31,AU,Melbourne,wind-gust,179,0.1,15.8,8,155.1
2018-12-31,AU,Melbourne,so2,33,1.5,2.9,1.5,3.01
2020-02-04,AU,Melbourne,pm25,308,1,53,25,700.5
2018-12-31,AU,Melbourne,no2,116,1,5.6,2.8,18.3
2018-12-31,AU,Melbourne,precipitation,6,1,998,994,2645400
2018-12-31,AU,Melbourne,co,36,1.2,3.4,2.3,5.1
2018-12-31,AU,Melbourne,pm10,140,2,31,18,505.25
2018-12-31,AU,Melbourne,humidity,156,50.9,82.1,68,372.79
2018-12-31,AU,Melbourne,o3,132,7.3,28.1,12.1,332.5
2018-12-31,AU,Melbourne,wind-speed,144,0,5.1,0.5,25.83
2018-12-31,AU,Adelaide,humidity,168,10.2,80.8,40.4,3099.64
2020-02-23,AU,Melbourne,pm25,308,2,67,25,1220.89
2018-12-31,AU,Adelaide,pressure,168,1008.5,1013.5,1011.6,19.59
2018-12-31,AU,Adelaide,wind-speed,117,0.1,11.5,2.9,81.18
2018-12-31,AU,Adelaide,dew,24,1,15,11,145.8
2018-12-31,AU,Adelaide,temperature,168,15,34.9,22.5,344.06
2018-12-31,AU,Adelaide,pm10,163,2,58,12,898.55
2018-12-31,AU,Adelaide,no2,123,0.1,0.1,0.1,0
2018-12-31,AU,Adelaide,wind-gust,135,0.1,22.4,5.9,314.56
2018-12-31,AU,Adelaide,co,165,0.1,0.3,0.1,0.03
2018-12-31,AU,Adelaide,o3,167,0,0,0,0
2018-12-31,AU,Adelaide,so2,9,0.1,0.1,0.1,0
2018-12-31,AU,Brisbane,pm10,214,12,24,18,78.75
2018-12-31,AU,Brisbane,o3,142,0.1,0.1,0.1,0
2018-12-31,AU,Brisbane,wind-speed,207,0,0,0,0
2018-12-31,AU,Brisbane,co,24,0.1,0.1,0.1,0
2018-12-31,AU,Brisbane,pressure,216,1011.1,1018.5,1015,22.18
2020-01-05,AU,Melbourne,pm25,307,1,74,23,1624.96
2018-12-31,AU,Brisbane,no2,111,0.1,0.1,0.1,0
2018-12-31,AU,Brisbane,dew,76,15.5,19,18,10.64
2018-12-31,AU,Brisbane,temperature,207,0,0,0,0
2018-12-31,AU,Brisbane,so2,55,0.1,0.1,0.1,0
